fake_share_hhi_t,fake_top1_share_ratio_t,global_disagreement,label,mean_fake_event_exposure_ratio,mean_fake_event_misbelief_ratio_among_exposed,platform_trust_mean,polarization_abs_mean,polarization_variance,run_id,timestep,total_likes,total_rewrite_shares,total_shares,users_believing_any_fake_ratio_among_exposed,users_exposed_to_any_fake_ratio
1.0,1.0,0.007909047817460319,hard_off,0.16666666666666666,0.24242424242424243,0.42882936110668074,0.036566666666666664,0.010980812222222223,exp_20260321_165524_exp_rq3_hard,0,90.0,12.0,56.0,0.6530612244897959,0.49
0.9655278547245305,0.9824561403508771,0.019227519047619043,hard_off,0.26333333333333336,0.357487922705314,0.42882936110668074,0.0724,0.030050528888888706,exp_20260321_165524_exp_rq3_hard,1,233.0,27.0,155.0,0.6753246753246753,0.77
0.8742583007196061,0.9325842696629213,0.026339860284391534,hard_off,0.33,0.4690763052208835,0.42882936110668074,0.09399999999999996,0.03739099999999988,exp_20260321_165524_exp_rq3_hard,2,413.0,51.0,319.0,0.7391304347826086,0.92
0.7774471250929961,0.8762886597938144,0.03297694527116402,hard_off,0.37333333333333335,0.5819721718088324,0.42882936110668074,0.1023333333333333,0.039196222222222146,exp_20260321_165524_exp_rq3_hard,3,598.0,79.0,487.0,0.7741935483870968,0.93
0.7372806587589452,0.8514851485148515,0.03456108237433863,hard_off,0.4266666666666667,0.6724386724386725,0.42882936110668074,0.11266666666666664,0.040544555555555487,exp_20260321_165524_exp_rq3_hard,4,786.0,111.0,669.0,0.7978723404255319,0.94
0.7130738052596851,0.8349514563106796,0.03235501732804232,hard_off,0.49,0.6688811188811189,0.42882936110668074,0.12283333333333339,0.04209030555555557,exp_20260321_165524_exp_rq3_hard,5,967.0,150.0,860.0,0.84375,0.96
0.7017381656804733,0.8269230769230769,0.03050908679100529,hard_off,0.51,0.6476391825229034,0.42882936110668074,0.12650000000000003,0.04318830555555559,exp_20260321_165524_exp_rq3_hard,6,1156.0,193.0,1049.0,0.84375,0.96
0.7017381656804733,0.8269230769230769,0.033216544675264546,hard_off,0.51,0.6398872445384073,0.42882936110668074,0.12583333333333335,0.04314097222222229,exp_20260321_165524_exp_rq3_hard,7,1348.0,235.0,1251.0,0.84375,0.96
0.7017381656804733,0.8269230769230769,0.036810864882605814,hard_off,0.51,0.6398872445384073,0.42882936110668074,0.12583333333333335,0.04314097222222229,exp_20260321_165524_exp_rq3_hard,8,1534.0,281.0,1442.0,0.84375,0.96
0.7017381656804733,0.8269230769230769,0.03279816316633598,hard_off,0.51,0.6398872445384073,0.42882936110668074,0.12583333333333335,0.04314097222222229,exp_20260321_165524_exp_rq3_hard,9,1733.0,324.0,1637.0,0.84375,0.96
1.0,1.0,0.008569931081649832,soft_on,0.11,0.3229166666666667,0.4915293611066811,0.027333333333333338,0.008773999999999973,exp_20260321_173127_exp_rq3_soft,0,132.0,13.0,82.0,0.9393939393939394,0.33
1.0,1.0,0.01468907971657972,soft_on,0.18666666666666668,0.3212121212121212,0.5762293611066809,0.05783333333333334,0.021788083333333295,exp_20260321_173127_exp_rq3_soft,1,313.0,44.0,219.0,0.9464285714285714,0.56
